mwe_template	semantic_tags
aquele_pron que_pron telefona_verb	Q1.3/S2mf S1.1.1/S2mf Q2.2/S2mf 
ar_noun livre_adj	W1
arame_noun farpado_verb	O2
arco_noun e_conj flecha_noun	K5.1
areia_noun movediça_adj	W3 A12-
arenque_noun defumado_verb	F1
arma_noun de_prep fogo_noun	G3
armas_noun brancas_adj	O1.1 O2 S1.2.5+ O4.3
arroz_noun integral_adj	F1
arte_noun barata_adj	C1/O4.2-
articulação_noun de_prep o_det dedo_noun	B1
artigo_noun manufaturado_verb	O2 A1.1.1 A2.2 N2%
artigos_noun variados_verb	O2
artista_noun de_prep rua_noun	K2/S2mf
as_det mulheres_noun	S2.1
assassino_noun de_prep aluguel_noun	A5.1+ Z4
assassino_noun serial_adj	L1-/S2mf
assim_adv como_conj	A13 Z5
assunto_noun secundário_adj	Z4
assédio_noun sexual_adj	S3.2/G2.2-
ataque_noun de_prep mau_adj humor_noun	K4 C1 A8 A1.1.1 M7 S1.1.1 E3- E2+
ataque_noun de_prep nervos_noun	B2-/X1c E4.1+c
ataque_noun de_prep raiva_noun	E3-
atividade_noun agrícola_adj	F4
atividade_noun rural_adj	F4
ato_verb covarde_adj	M1 M2 A1.1.1 N3.8- O4.4 T1.3 E4.1+
ato_verb de_prep barbear_verb	B4 A1.1.1 N5-/A2.1
ato_verb sexual_adj	S3.2/B1 S1.1.1
através_adv de_prep	M6 M1 Z5
através_adv de_prep o_pron qual_pron	Z5
atropelamento_noun e_conj fuga_noun	G2.1-
atrás_adv de_prep	B1 M6 A6.1- Z5
até_adv agora_adv	T1.1.1 T1.1.2 M6 N5
até_adv aqui_adv	M6 T1.1.2 T1.1.1
até_adv já_adv	Z4 S1.1.1
até_adv logo_adv	Z4 S1.1.1
até_adv que_conj	F4 I1/O2 Z5
até_prep certo_det ponto_noun	A13.6
até_prep o_det fim_noun	N5.1+ N5.1+/M1
até_prep o_det momento_noun	T1.1.1
auditoria_noun de_prep a_det qualidade_noun	A5.1/X2.4
****aumentado_verb em_prep meio_adj tom_noun	O4.4
aurora_noun boreal_adj	W1
ave_noun canora_adj	L2/X3.2
ave_noun de_prep rapina_noun	L2
ave_noun doméstica_adj	L2
aves_noun domésticas_adj	L2
avião_noun de_prep combate_noun	E3-/S2mf X8+/S2mf K5.1/S2mf M5/G3fn
ação_noun de_prep despejo_noun	H4/G2.1
ação_noun judicial_adj	G2.1 G2.1/S5+
ação_noun lucrativa_adj	I1.1
baile_noun de_prep máscaras_noun	A5.2-
balanço_noun geral_adj	Q1.2/I1.1
banca_noun de_prep jornal_noun	Q4.2/I2.2
banco_noun de_prep areia_noun	W3
banco_noun de_prep igreja_noun	H5
banco_noun de_prep sangue_noun	B3/A9+ B3/H1
banda_noun de_prep música_noun	K2c A4.1 S5+c O2 S5+
banda_noun larga_adj	Q1.3/Y2
bando_noun de_prep aves_noun	S5+
barco_noun a_prep remo_noun	M4fn
barco_noun a_prep vela_noun	M4fn
barra_noun invertida_verb	Q3 Y2
barriga_noun de_prep a_det perna_noun	L2mfn B1 O1.1
base_noun aérea_adj	M5/M7c
bastão_noun de_prep beisebol_noun	K5.1
batata_noun frita_adj	A1.1.1 F1 Y2 O2 A1.1.2 K5.2/I1 O4.5 O4.1
batedor_noun de_prep ovos_noun	M2 A1.1.1
bebida_noun alcoólica_adj	F2
bebida_verb destilada_verb	F2
bebê_verb índio_noun	B5
beco_noun sem_prep saída_noun	M3/H3 S1.1.2- X9.2-
beijo_noun ruidoso_adj	E3- M4fn F3 X3.2
beira_noun de_prep o_det caminho_noun	M3
bem-estar_noun social_adj	S8+ I1 G1.1c
bem_adv cuidado_noun	O4.2
bem_adv de_prep cabeça_noun	S1.2.6+ S5+ T1.1.2 M6
bem_adv estar_verb	B2+ X9.2+
bem_adv parecido_verb	O4.2+
benefício_noun suplementar_adj	I1.1/N5++
bens_noun de_prep família_noun	O2/S4
bicho_noun de_prep estimação_noun	E2+ L2mfn S3.2
blues_noun rural_adj	K2
blusa_noun de_prep malha_noun	B5
boa_adj condição_noun	X9.1
boa_adj forma_noun	X9.1
boa_adj saúde_noun	X9.1
boa_adj sorte_noun	I1.1+++ A1.4 X9.2 T1.1.3/S9
boa_adj tarde_noun	Z4
boa_adj vinda_noun	Q2.2 S1.1.1 Z4
boa_adj vontade_noun	S1.2.1+
boca_noun de_prep o_det estômago_noun	B1
bola_noun de_prep gude_verb	O1.1 O2
bolsa_noun de_prep estudo_noun	I1 P1
bom_adj dia_noun	Z4
bom_adj senso_noun	E1 X9.1+ X9.1+/S2mf Q2.2/X9.1+ Q1.2/X9.1+ S1.2.6+
bomba_noun atômica_adj	G3
bomba_noun de_prep inseticida_adj	O2
bonde_verb elétrico_adj	M3fn
boneca_noun de_prep pano_noun	K6
borda_noun decorativa_adj	B5 B2-
bordo_noun de_prep ataque_noun	S7.1+
bote_noun salva-vidas_adj	M4fn
botão_noun de_prep controle_noun	O2
botão_noun de_prep pressão_noun	O2
braço_noun de_prep o_det assento_noun	H5/N5.1-
brigada_noun de_prep incêndio_noun	O4.6+/G1.1c
bucha_noun de_prep canhão_noun	G3/S2mf S7.1-
buraco_noun de_prep a_det fechadura_noun	O2
cabeceira_noun de_prep a_det cama_noun	H5
cabelo_noun curto_adj	I1 B1 M1 Z1
cabelo_noun emaranhado_verb	H1
cabina_noun de_prep elevador_noun	A1.7+ H1/L2
cabine_noun telefônica_adj	Q1.3/H1
cabo_noun de_prep chicote_noun	F4 A1.1.1 N5 K5.1/O2 L2
cabo_noun de_prep vassoura_noun	B4 S9/O2
cada_det um_det	N5.1+ S1.1.2+ Z8/N5.1+c
cada_det vez_noun mais_adv	A13.3 N5++
cada_pron qual_pron	Z8/N5.1+c
cadeia_noun de_prep fornecedores_noun	I2.2 I4
cadeia_noun de_prep lojas_noun	I2.2/H1
cadeira_noun de_prep braços_noun	H5
cadeira_noun de_prep rodas_noun	M3
caderneta_noun de_prep poupança_noun	I1.1
caixa_noun de_prep câmbio_noun	M3/O2
caixa_noun de_prep papelão_noun	O2
caixa_noun eletrônico_adj	I1/Y2
caixa_noun postal_adj	Q1.3/H1
caixa_noun preta_adj	O3/M5 A10-
caixa_noun registradora_adj	I1/O3
caldo_noun de_prep carne_noun	F1
cama_noun elástica_adj	T2+ O2
camarão_noun grande_adj	F1
camarão_noun graúdo_adj	F1
caminhada_noun penosa_adj	M1
caminho_noun de_prep busca_noun	M3 M1 X4.2
caminho_noun estreito_adj	N3.7- A1.7+ A13.6
camisa_noun polo_verb	B5
campo_noun de_prep batalha_noun	G3/M7
campo_noun de_prep concentração_noun	G2.1/M7
campo_noun minado_verb	G3/M7 A15-
canil_noun municipal_adj	A1.1.1 P1 I1 N3.5
cano_noun de_prep arma_noun	O2
cano_noun de_prep chaminé_noun	A1.1.1 O2 M7
cansado_verb de_prep	E4.2- X5.2-
canteiro_noun de_prep flores_noun	L3
canto_noun de_prep galo_noun	L2 Q2.2 L2/X3.2 Q2.1
canção_noun de_prep ninar_verb	K2 
capa_noun de_prep chuva_noun	B5
capital_noun de_prep risco_noun	I1.1
carbonato_noun de_prep cálcio_noun	L2mfnc
carente_adj de_prep	A9-
carne_noun assada_verb	F1 F2/O4.3 O4.6+
carne_noun de_prep ave_noun	L2
carne_noun de_prep carneiro_noun	F1
carne_noun de_prep porco_noun	F1
carne_noun de_prep vaca_noun	F1 Q2.2
carrinho_noun de_prep bebê_verb	M3
carrinho_noun de_prep chá_noun	M3/O2
carrinho_noun de_prep mão_noun	O2 I2.2
carro_noun "_punc bichado_verb "_punc	F1 L3 F2 O4.3
carro_noun blindado_verb	M3 O2 G3/M3fn
carro_noun de_prep guerra_noun	M3
carta_noun branca_adj	A1.7-
carta_noun patente_adj	I2.2 I3.2% Q1.2
cartão_noun de_prep crédito_noun	O2/I1
cartão_noun de_prep embarque_noun	M3/Q1.2 M4/Q1.2 M5/Q1.2
cartão_noun postal_adj	Q1.2
carvão_noun de_prep lenha_noun	O1.1 O4.3
carvão_noun vegetal_adj	O1.1 O4.3
casa_noun de_prep campo_noun	H1 F1%
casca_noun de_prep ferida_verb	A9+ B2- I4/S2mf
casca_noun de_prep noz_noun	L3
cavalo_noun de_prep aluguel_noun	Q1.2
cavalo_noun de_prep corrida_noun	L2
caçador_noun de_prep cabeças_noun	I3.1/S2mf
central_noun telefônica_adj	A11.1+ M6
centro_noun comercial_adj	I2.2/H1c
centro_noun de_prep a_det cidade_noun	M6
cerca_adv viva_adj	L3
cerimônia_noun de_prep posse_noun	T2+ S1.1.1
certidão_noun de_prep casamento_noun	Q1.2/S4
certidão_noun de_prep nascimento_noun	Q1.2/S4
certidão_noun de_prep óbito_noun	L1-/Q1.2
certificado_verb de_prep seguro_noun	Q1.2/I2.1
cerveja_noun de_prep malte_noun	O4.2 S1.2.5+
cerveja_noun preta_adj	O4.2 S1.2.5+
chave_noun de_prep fenda_noun	O2 F2
chave_noun de_prep parafuso_noun	E4.1- O2 M2
chave_noun elétrica_adj	A2.1+ O3
chave_noun inglesa_adj	O2
chefe_noun de_prep as_det arrumadeiras_noun	B4/S2mf
chefe_noun de_prep família_noun	S7.1+/S2mf 
cheio_adj de_prep vida_noun	X5.2+ L1+%
cheque-ouro_verb de_prep exportação_noun	O2 K5.1
cheque_noun bancário_adj	Q1.2 G3 M2 Q1.2/I1
cheque_noun de_prep pagamento_noun	I1.1
chiclete_noun de_prep bola_noun	F1
chicote_noun de_prep fios_noun	L2 A1.5.1 O2
chova_verb ou_conj faça_verb sol_noun	W4
cidade_noun universitária_adj	M7/P1
cientista_noun social_adj	S1.1.1/S2mf
cimento_noun armado_verb	A1.1.1 A7+/A2.1 A4.2+ A7+ A1.6 O1
cirurgia_noun plástica_adj	B4 O4.2+/A2.1
cisne_noun macho_adj	F1 L2mfn
ciência_noun contábil_adj	I2.1/I1
clara_adj de_prep ovo_noun	B1/O1
classe_noun média_adj	S5+c
classe_noun trabalhadora_adj	I3.1
cláusula_noun contratual_adj	A9- A9+ N4 G2.1
clínica_noun geral_adj	B3/A4.2- I2.1/A4.2-
clínico_noun geral_adj	B3/S2mf A4.2-/S2mf
coberto_verb de_prep cicatrizes_noun	B2-
coberto_verb de_prep grama_noun	L3
cobertura_noun morta_adj	F4
cobertura_noun provisória_adj	Q1.2 Q1.2/S2mf
cobrador_noun de_prep impostos_noun	G1.1/I1.1/S2mf
cobrança_noun executiva_adj	T2-
cofre_noun de_prep carga_noun	O2
colaborador_noun independente_adj	S5- S5-/I3.1 S5-/S2mf
colarinho_noun branco_noun	I3.2
colação_noun de_prep grau_noun	P1 N3.1
colega_noun de_prep classe_noun	S2mf/P1
coleção_noun de_prep animais_noun vivos_adj	L2
colher_verb de_prep chá_noun	O2 N5
coluna_noun vertebral_adj	B1 A11.1+ S1.2.5+
com_prep cara_noun de_prep	M6 S1.1.1 X2.1 B5
com_prep certeza_noun	Z4
com_prep cuidado_noun	A1.3+
com_prep efeito_noun	A13.3 A5.4+
com_prep fome_noun	F1-/B1 S1.2.2+ A1.5.1/N5+
com_prep ironia_noun	E4.1+
com_prep medo_noun	E5- E4.1-
com_prep pena_noun	Z4 E4.1- O4.2-
com_prep que_pron	Z5
com_prep razão_noun	A5.3+
com_prep referência_noun a_prep	X2.1 Z5
com_prep relação_noun a_prep	Z5
com_prep sucesso_noun	X9.2+
com_prep todas_det as_det letras_noun	A7+ A11.2+ A12+
com_prep vencimento_noun a_prep longo_adj prazo_noun	T1.3+
com_prep vigência_noun a_prep partir_verb de_prep	Z5
comida_noun para_prep animais_noun	F1 L2
comissária_noun de_prep bordo_noun	M5/S2.1f
comissário_noun de_prep bordo_noun	M5 M4 S1.1.1 M5/I3.2/S2mf M4/I3.2/S2mf M3/I3.2/S2mf S7.1+/S2mf M5/S2mf
como_adv previsto_verb	Z4
como_conj se_pron	Z5
como_conj se_pron poderia_verb esperar_verb	Z4
como_conj tal_pron	A4.2+
como_conj é_verb	Z4 A2.1-
competição_noun cultural_adj	X2.4 K5.2
computador_noun de_prep grande_adj porte_noun	Y2
comércio_noun eletrônico_adj	I2.1/Y2
comércio_noun livre_adj	I2.2 I2.1c/S5-
conclusão_noun antecipada_verb	X6+/N4
concordância_noun absoluta_adj	S5+
condicionamento_noun de_prep ar_noun	O4.6
condição_noun resultante_adj	N4
conduta_noun ilegal_adj	G2.1-
conduto_noun de_prep ar_noun	O2
conector_noun entre_prep redes_noun locais_adj	H1 W3 A2.2/S3.1 H2/M4 B1 B3 O2 K5.2 M1
conflito_noun interno_adj	S5+
conjunto_noun de_prep peças_noun	O2
conselho_noun deliberativo_adj	S7.1+/S5+c
consentimento_noun tácito_adj	S8+/G2.2-
conta_noun corrente_adj	I1.1
conta_noun de_prep poupança_noun	I1.1
contabilidade_noun de_prep custos_noun	I2.1/I1.3
contagem_noun de_prep votos_noun	N2 A11.1+
contanto_adv que_conj	Z5
contas_noun a_prep receber_verb	A9+ I1.2
conto_noun de_prep fadas_noun	Q1.2/S9 A5.1
controle_noun acionário_adj	I2.2
controle_noun de_prep natalidade_noun	B3/S4
controle_noun remoto_adj	O3
contrário_noun a_prep	X7-
conven_noun ção_verb	A6.2+ S1.1.3+ A6.1+/G1.1
conversa_noun fiada_verb	Q2.1
cor_noun de_prep areia_noun	W3 O4.3
cor_noun de_prep canela_noun	F1
corpo_noun de_prep balé_noun	K4/S5+
corpo_noun de_prep bombeiros_noun	O4.6+/G1.1c
corpo_noun de_prep exército_noun	G3/S5+c S5+c
corpo_noun docente_adj	X9.1 H2 S5+c P1/I3.1/S2mfc
corpo_noun humano_adj	B1
corredor_noun de_prep a_det morte_noun	G2.1/H4
corredor_noun entre_prep assentos_noun	H2
correio_noun aéreo_adj	Q1.2
corrente_noun de_prep ar_noun	W4 F2 O1.2 K5.2
corretor_noun de_prep títulos_noun	I2.2/S2mf I1.2/S2mf
corretor_noun imobiliário_adj	I2.2/S2mf
corte_noun a_prep a_det escovinha_noun	B1
corte_noun de_prep cabelo_noun	B4
corvo_noun marinho_adj	L2
costas_noun de_prep fora_adv	O4.1
costas_noun nuas_adj	O4.1
cota_noun de_prep armas_noun	Q1.1
criador_noun de_prep gado_noun	F4/S2mf
criança_noun de_prep rua_noun	O4.2- S2
criação_noun mental_adj	X2.1 X3.4/Q1.1
crise_noun econômica_adj	E4.1- B2-/X1 I2.1/N5- O4.4 W4
crosta_noun de_prep gelo_noun	F1 O4.6- L1-%
cruzeiro_noun marítimo_adj	M4 G3% M1
crítica_noun mordaz_adj	B1 O2 E3- M1 A1.7+
cueca_noun samba-canção_noun	B5
cuidados_noun pessoais_adj	B4/H5 B4/H1
curso_noun intensivo_adj	N5+/P1
custo_noun de_prep vida_noun	I1.3
cálice_noun de_prep a_det Eucaristia_pnoun	O2/S9
câmara_noun municipal_adj	M7 G1.1c
cão_noun de_prep caça_noun	E6- L2mfn
cão_noun de_prep guarda_noun	L2 G2.1
céu_noun de_prep a_det boca_noun	B1 F1 C1
círculo_noun vicioso_adj	A1.7+
código_noun DDD_pnoun	Q1.2
código_noun de_prep barra_noun	Q1.1
código_noun secreto_adj	A10-/Q1.2 N2 X3.2/N6+ A11.1- S7.1-/S2mf
cópia_noun de_prep segurança_noun	S8+ Y2
dama_noun de_prep companhia_noun	S8+/S2mf
dar_verb audiência_noun	X3.2 X2.3+ G2.1@
data_noun de_prep vencimento_noun	S6+/T1.1
de_prep a_det China_pnoun	S4f
de_prep a_det mesma_pron forma_noun	A6.1+
de_prep acordo_noun	A1.2+ A6.1+ A9- Z5
de_prep acordo_noun com_prep	A6.1+
de_prep agora_adv em_prep diante_adv	T1.1.3 Z5
de_prep algum_det modo_noun	N5 X4.2 A13.4
de_prep alguma_det forma_noun	N5
de_prep alta_adj capacidade_noun	I1.3+
de_prep antemão_adv	N4
de_prep aqui_adv em_prep diante_adv	T1.1.3
de_prep boa_adj cepa_noun	L2/A4.1
de_prep boa_adj fé_noun	A5.4+ G2.2+
de_prep bom_adj coração_noun	G2.2+
****de_prep bruxaria_noun	S9/S2.1f O4.2-/S2.1f
de_prep cabeça_noun	M6
de_prep cama_noun	B2-
de_prep carreira_noun	I3.1 N3.8+
de_prep cera_noun	A1.1.1 N3.2+/A2.1 A2.1+ B4 O1.1
de_prep certa_det forma_noun	A13.6
de_prep certa_det maneira_noun	A13.4
de_prep certo_det modo_noun	A13.4
de_prep colecionador_noun	T3 F2 T3+
de_prep cor_noun	N5.1+
de_prep de_prep confiança_noun	A5.1+ A5.3+
de_prep de_prep encontro_noun	A5.1- S8- Z5
de_prep de_prep madeira_noun	O1.1 X5.2-
de_prep de_prep novo_adj	N6+ Z4
de_prep de_prep repente_noun	N3.8+
de_prep de_prep solo_noun	S5-
de_prep de_prep série_noun	N4 Q4
de_prep direção_noun	S7.1+ M2 A2.2
de_prep ensaio_noun	A12-
de_prep escritório_noun	Q1.2 S9
de_prep fato_noun	A13.3 A5.2+ X2.2 A5.4+
de_prep forma_noun alguma_det	Z6
de_prep forma_noun econômica_adj	I1.3-
de_prep forma_noun não_adv usual_adj	A6.2-
de_prep forma_noun que_pron	Z5
de_prep forma_noun relaxada_verb	E3+
de_prep gala_noun	K1/S1.1.1
de_prep giz_noun	O4.3 O4.5
de_prep grande_adj projeção_noun	N5+ A13.2
de_prep hora_noun em_prep hora_noun	N6
de_prep imediato_noun	N3.8+
de_prep imitação_noun	A5.4- A6.1+/A5.4- K1/S2mf P1 Q2.2/S1.2.4- S7.2-
de_prep interesse_noun público_adj	A11.2+
de_prep jeito_noun maneira_noun	Z6
de_prep lado_noun	M6
de_prep longo_adj alcance_noun	N5+
de_prep longo_adj prazo_noun	T1.3+
de_prep madeira_noun	O1.1 X5.2-
de_prep manobra_noun	S7.1+ M2 A2.2
de_prep modo_noun diferente_adj	T3---
de_prep modo_noun que_pron	Z5
de_prep novo_adj	T2+ N6+
de_prep o_det caralho_noun	A5.1+++ S3.2/B1 Z4 S3.2/B1%
de_prep o_det contrário_noun	A6.1-
de_prep o_det início_noun a_prep o_det fim_noun	N5.1+ Z4 T2
de_prep o_det jeito_noun que_pron está_verb	Z4 A2.1-
de_prep o_det jeito_noun que_pron é_verb	Z4 A2.1-
de_prep o_det lado_noun de_prep cá_adv	M6 T1.1.2
de_prep o_det norte_noun	M6
de_prep o_det sul_noun	M6
de_prep o_pron qual_pron	Z5
de_prep o_pron que_pron	Z5
de_prep onde_adv	M6
de_prep outra_det maneira_noun	T3---
de_prep parte_noun	M6 A10- A9+ Q2.1/A1.2-
de_prep pernas_noun para_prep o_det ar_noun	O4.2
de_prep ponta-cabeça_verb	M6
de_prep porcelana_noun	O1.1 O2
de_prep primeira_adj	A5.1 A5.1+ O4.1
de_prep propósito_noun	X7+
de_prep qual_pron	Z5 Z8
de_prep qualquer_det forma_noun	A13.1 Z4
de_prep qualquer_det maneira_noun	A13.1 Z4 A13.7
de_prep quatro_num	B1 A12+
de_prep que_conj maneira_noun	Z5
de_prep que_pron	Z5
de_prep quem_pron	Z8
de_prep religião_noun hindu_adj	S9 S9/S2mf
de_prep repente_noun	N3.8+
de_prep seda_noun	O1.1 B5 
de_prep segunda_adj mão_noun	H5/A2.1 T3+ N4
de_prep serviço_noun	I3.1
de_prep um_det lado_noun para_prep outro_det	M6
de_prep uma_det vez_noun por_prep todas_det	A7+++
de_prep veludo_noun	O1.1
de_prep verdade_noun	A5.1- A13.3
de_prep vez_noun em_prep quando_adv	N6 N6- T1.1.1 T1/A7-
de_prep vime_noun	O2
de_prep volta_noun	B1 M6 N6+ T1.1.1 S1.1.2+ S8+ K5.1/I1 M1 K2
debaixo_adv de_prep	M6 Z5
declarado_verb publicamente_adv	A11.2+
declaração_noun autoritária_adj	S7.4+
declaração_noun juramentada_verb	G2.1/Q1.2
dedo_noun de_prep o_det pé_noun	B1
defeito_noun de_prep linguagem_noun	Q2.2/B2-
defensivo_adj agrícola_adj	O1
deficiente_adj físico_adj	B2- A1.1.2 B2-/S2mf
delegado_noun de_prep polícia_noun	K5.1/S2mf G2.1/S2mf G3/S7.1+/S2mf
delegação_noun de_prep poder_noun	S7.1+
demanda_noun judicial_adj	G2.1
dente_noun canino_adj	B1 O2
dente_noun de_prep alho_noun	L3
dente_noun de_prep engrenagem_noun	O2
dente_noun reto_adj	X5.2+ A2.2 K5.1/O2 W3 B2- L2 L3 M3
dentro_adv de_prep	M6 O4.2+ Z5
dentro_adv de_prep o_det possível_adj	A7
depois_adv de_prep	M6 T1.1.1 Z5
depois_adv de_prep isso_pron	N4
depois_adv de_prep o_pron que_pron	Z5
depois_adv que_conj	N4 Z5 T2++
depósito_noun de_prep mercadorias_noun	A9+/H1
derramamento_noun de_prep sangue_noun	B1 E3-
derrame_noun cerebral_adj	B2- 
desconto_noun de_prep títulos_noun	I2.2
desde_prep então_adv	T2++
desde_prep que_pron	A2.2 Z5
desejo_noun irreprimível_adj	Q2.2 X7+
desenho_noun animado_verb	Q4.3 C1
deslizamento_noun de_prep terra_noun	X9.2++ W3
despesas_noun postais_noun	Q1.2
deste_prep modo_noun	Z5/A2.2
mão_noun única_adj	M6
destreza_noun manual_adj	X9.1+
dever_noun de_prep casa_noun	A1.1.1 P1 P1@ X2.4
devido_verb a_prep	A2.2
dia_noun a_prep dia_noun	A6.2+ N6+
dia_noun após_prep dia_noun	A6.2+ N6+
dia_noun chuvoso_adj	A12-
diferente_adj de_prep	A6.1- Z5
dinheiro_noun disponível_adj	I1.1 N5+
direito_noun a_prep o_det voto_noun	G1.2
direito_noun autoral_adj	G2.1/A9+
direito_noun civil_adj	G2.1
direito_noun comercial_adj	G2.1
direito_noun consuetudinário_adj	G2.1
direitos_noun civis_adj	G1.2
direitos_noun humanos_adj	G2.1
direitos_noun reservados_verb	G2.1/A9+
direto_adv a_prep o_det ponto_noun	S1.2.1-
diretor_noun administrativo_adj	S7.1+/S2mf
diretor_noun de_prep escola_noun	P1/I3.2/S2.2m
discurso_noun de_prep improviso_noun	N3.8+
discurso_noun de_prep posse_noun	P1 T2+
discurso_noun prolixo_adj	Q2.1
dispêndio_noun monetário_adj	I1.2
distante_adj de_prep	M6 A1.1.1%
